Datos exportados:
1,Super Mario Bros,NES,Platformer,null,Classic Mario adventure
2,The Legend of Zelda,NES,Adventure,null,Explore Hyrule
3,Tetris,Game Boy,Puzzle,null,Arrange falling blocks
4,Sonic the Hedgehog,Genesis,Platformer,null,Speed through zones
5,Street Fighter II,SNES,Fighting,null,Fight global opponents
6,Pokémon Red,Game Boy,RPG,null,Catch and train Pokémon
7,Final Fantasy VII,PS1,RPG,null,Save the planet with Cloud
8,Metal Gear Solid,PS1,Stealth,null,Infiltrate enemy base
9,Resident Evil 2,PS1,Survival Horror,null,Survive Raccoon City
10,Halo: Combat Evolved,Xbox,Shooter,null,Fight the Covenant
11,The Elder Scrolls V: Skyrim,PC,RPG,null,Open-world adventure
12,Minecraft,PC,Sandbox,null,Build and explore worlds
13,The Witcher 3,PC,RPG,null,Hunt monsters as Geralt
14,Among Us,PC,Party,null,Find the impostor
15,Celeste,PC,Platformer,null,Climb the mountain
16,Hollow Knight,PC,Metroidvania,null,Explore Hallownest
17,DOOM Eternal,PC,Shooter,null,Rip and tear demons
18,Hades,PC,Roguelike,null,Escape the Underworld
19,Cuphead,PC,Run and Gun,null,Defeat bosses
20,Stardew Valley,PC,Simulation,null,Manage a farm
21,Animal Crossing: New Horizons,Switch,Simulation,null,Build your island
